nombre,departamento,pais,poblacion,clima
Alyssaton,Louisiana,Malaysia,195217,Seco
Jamieport,Louisiana,Christmas Island,508765,Templado
Kaisertown,New Mexico,Antarctica (the territory South of 60 deg S),64627,Frío
Sarahaven,Massachusetts,San Marino,799495,Frío
Cooperview,Nebraska,Slovenia,683994,Templado
Sharichester,Virginia,Vietnam,839214,Tropical
East Lauren,Montana,Poland,712714,Seco
Richardtown,Washington,Italy,405995,Templado
East Stephaniebury,Arizona,Mongolia,504660,Templado
Lake Margaret,Tennessee,Denmark,911316,Frío
Lake Fred,Kentucky,Indonesia,581979,Tropical
Port Bruce,Missouri,Ghana,822243,Frío
Farrellshire,Vermont,Guinea-Bissau,749742,Tropical
Jamesstad,Alaska,Switzerland,305372,Tropical
Tiffanyton,Kentucky,Vietnam,604005,Frío
East Laura,Arkansas,Moldova,162813,Frío
Victoriaberg,Pennsylvania,Seychelles,258395,Templado
Lake Royhaven,Mississippi,Heard Island and McDonald Islands,576377,Frío
Leeland,Massachusetts,Bangladesh,832717,Templado
Mooreberg,North Dakota,Liberia,568053,Templado
Brownmouth,New Jersey,Guam,636585,Templado
New Kimberlyside,Tennessee,Liberia,116082,Tropical
New Danielle,Georgia,Benin,146197,Frío
Derekshire,Rhode Island,Solomon Islands,445205,Tropical
Robinfurt,South Carolina,Cape Verde,512052,Tropical
Romeroberg,Minnesota,Qatar,589421,Seco
Douglasland,Wisconsin,Sweden,499148,Tropical
Wellsburgh,Florida,Mozambique,673779,Templado
West Samanthamouth,Ohio,Belarus,477503,Frío
West Joseborough,Maine,New Caledonia,242735,Seco
Nicholasbury,Illinois,Malawi,516780,Tropical
Porterhaven,Michigan,Gambia,940617,Templado
Stewartborough,California,Guernsey,249467,Seco
Annamouth,Arizona,Armenia,248422,Frío
Ericland,South Carolina,Samoa,467807,Tropical
Matthewport,Wisconsin,Cote d'Ivoire,897931,Frío
East Ashley,Pennsylvania,Micronesia,130876,Frío
Lake Shawnmouth,Virginia,Libyan Arab Jamahiriya,965082,Frío
Lake Jennifer,Maine,Tajikistan,97083,Templado
Brandonburgh,Maine,Denmark,922181,Seco
Walkertown,South Dakota,Saint Pierre and Miquelon,286142,Templado
Davisburgh,Illinois,Saint Helena,697131,Templado
South Adam,South Carolina,Palau,350448,Seco
Whiteton,Minnesota,French Southern Territories,477224,Seco
Olsonmouth,New York,Netherlands Antilles,634999,Seco
Lake Steventown,Vermont,Isle of Man,866891,Frío
Port Victoria,Virginia,Maldives,535120,Tropical
New Brendanside,Wyoming,Cayman Islands,402826,Frío
Ellisland,California,Kyrgyz Republic,524602,Tropical
Port Matthewfort,Wisconsin,Indonesia,642252,Tropical
South Nicole,Rhode Island,Paraguay,99140,Seco
Mathewsburgh,Mississippi,New Caledonia,309932,Frío
Rileyburgh,Kentucky,Malawi,522555,Templado
East Kevin,Idaho,Wallis and Futuna,684467,Templado
New Sean,Nebraska,Korea,414365,Templado
New Sonyaborough,Connecticut,Falkland Islands (Malvinas),419753,Frío
West Karen,Alaska,Hungary,411374,Tropical
Adkinsside,Rhode Island,French Polynesia,660169,Frío
Calebborough,North Carolina,Cyprus,343429,Tropical
Osbornefort,Iowa,Oman,154397,Templado
West Amy,Mississippi,Nigeria,402100,Templado
Emilyfurt,Louisiana,Belize,647853,Frío
Lake Shawn,California,Thailand,596094,Templado
Cruzburgh,Wyoming,Netherlands,985575,Frío
Lake Scott,New Jersey,Tuvalu,417697,Frío
Thomastown,Michigan,French Guiana,744075,Seco
Austinbury,Indiana,Jordan,937269,Frío
Hollybury,New Mexico,Norfolk Island,465813,Seco
Sandersmouth,Washington,Western Sahara,733531,Tropical
Beckmouth,North Dakota,Cocos (Keeling) Islands,634553,Frío
Sanchezhaven,South Carolina,Lesotho,641677,Tropical
Howardfurt,North Dakota,Costa Rica,868360,Frío
North Amanda,Vermont,Malawi,914006,Templado
Annatown,New York,Papua New Guinea,471791,Seco
South Ryanview,Florida,Afghanistan,904856,Seco
North Gary,Delaware,Cote d'Ivoire,577049,Tropical
Gonzalezburgh,Texas,Mauritania,718756,Seco
Pricehaven,Wisconsin,French Guiana,476960,Templado
Dawnborough,Idaho,United States Virgin Islands,61073,Seco
North Rebeccaville,Vermont,Eritrea,152169,Seco
West Donna,Maine,Kyrgyz Republic,627847,Frío
Deanborough,Oregon,Madagascar,266824,Frío
Stephenside,Hawaii,Antarctica (the territory South of 60 deg S),538179,Seco
Caseyborough,Connecticut,Barbados,841478,Tropical
New Ericaberg,Hawaii,Bouvet Island (Bouvetoya),235401,Tropical
South Anthonyside,Arkansas,Cambodia,746567,Tropical
Lake Andrew,Alabama,Montenegro,381049,Frío
Lake Kristinhaven,Alaska,Svalbard & Jan Mayen Islands,231012,Templado
Aaronborough,Vermont,Netherlands,357362,Tropical
Port Tamara,Delaware,Montserrat,216518,Seco
New Tonya,South Dakota,Namibia,113178,Tropical
North Markberg,Maryland,Tunisia,936993,Seco
Garzaborough,New Hampshire,Senegal,782300,Templado
Lake Angela,Massachusetts,Kyrgyz Republic,254334,Tropical
New Marissaview,West Virginia,Equatorial Guinea,66942,Frío
Benjaminshire,Arkansas,Israel,376698,Seco
East Edwintown,Alaska,United States Virgin Islands,530821,Seco
Grantchester,Arkansas,United Kingdom,353954,Frío
Katherinetown,Mississippi,Iraq,261225,Templado
Markshire,Rhode Island,Antigua and Barbuda,583296,Frío
South Alicia,New Hampshire,Saint Pierre and Miquelon,249775,Tropical
Kristenland,New Jersey,Kiribati,843696,Templado
New Maryberg,West Virginia,Zambia,51083,Seco
Ryanview,Connecticut,Heard Island and McDonald Islands,421841,Tropical
West Matthew,Kentucky,Congo,819896,Tropical
Riggsmouth,Utah,Gibraltar,476526,Tropical
Cummingsland,Kentucky,Ghana,767682,Tropical
Schroederbury,Idaho,Bulgaria,311194,Frío
Garciaview,Michigan,Grenada,930867,Seco
Kathleenshire,Washington,Cyprus,682720,Tropical
Diazberg,Hawaii,Bhutan,803925,Templado
Longburgh,Washington,Ukraine,615845,Tropical
South Deanna,Iowa,Dominica,490063,Seco
North Susan,North Dakota,Bahrain,558502,Templado
Kennethhaven,Colorado,Christmas Island,484430,Templado
Port Melody,Massachusetts,Eritrea,106569,Frío
Peterland,Connecticut,Vietnam,467929,Templado
Watsonburgh,Missouri,Sudan,574906,Frío
Bryantmouth,Rhode Island,Malta,618937,Templado
North Taylor,Washington,Israel,683647,Tropical
Lake Lori,Minnesota,Trinidad and Tobago,101009,Frío
Melanieland,Michigan,Ecuador,136771,Frío
North Mollyside,New Mexico,Egypt,256647,Templado
New Amanda,Tennessee,Comoros,145085,Tropical
Doyleborough,Louisiana,Norway,666964,Seco
New Kendra,Wyoming,Malaysia,932307,Templado
Port Joshua,Vermont,Dominican Republic,188890,Seco
North Michelle,Louisiana,Cape Verde,639292,Tropical
South Michaelside,North Carolina,Cambodia,854192,Tropical
South Catherineshire,Oregon,Switzerland,497549,Templado
Sheilaton,Utah,Gibraltar,582485,Seco
Lake Kimberlytown,Wyoming,Slovakia (Slovak Republic),793000,Tropical
New Rebeccamouth,Mississippi,Fiji,969479,Seco
West Brian,Oregon,Falkland Islands (Malvinas),416746,Frío
Pamelahaven,Iowa,Montserrat,933898,Templado
East Andrew,Alabama,Hungary,442905,Seco
West Derekhaven,New Mexico,Korea,952100,Tropical
Henryside,Rhode Island,Honduras,186419,Frío
New Andreatown,Nevada,Malawi,598357,Seco
South Jessicaport,Montana,Bosnia and Herzegovina,362104,Frío
South Patriciaberg,South Dakota,Somalia,479488,Templado
Beasleyborough,Georgia,Bolivia,456406,Templado
West Sharon,Iowa,Latvia,244583,Tropical
Lake Kim,Vermont,Niger,207640,Templado
Juliaberg,New Jersey,Lao People's Democratic Republic,950962,Frío
Douglasfort,New Jersey,Madagascar,612569,Tropical
North Edgarborough,North Carolina,Egypt,684185,Frío
East Andrewmouth,Montana,Latvia,410140,Seco
Roblesport,Mississippi,Cyprus,618354,Tropical
Jacquelineshire,Wyoming,Iran,665496,Templado
New Michelle,South Carolina,Reunion,519300,Templado
West Isaiah,North Carolina,Egypt,489048,Templado
Bradleybury,Wisconsin,Slovakia (Slovak Republic),411947,Seco
South Taylor,North Dakota,Venezuela,417944,Seco
North Nicholashaven,Alaska,Macao,458831,Tropical
West Eric,Maryland,Cameroon,172615,Seco
Robertsonfurt,New Hampshire,Trinidad and Tobago,213929,Seco
Jenniferstad,Wisconsin,France,933148,Seco
Stevensland,California,Cameroon,158446,Frío
Schultzberg,Alabama,Comoros,701125,Tropical
Lake Katherine,Texas,Latvia,803904,Seco
Maddenview,Mississippi,Papua New Guinea,801716,Templado
Zacharyview,Nebraska,Georgia,240854,Frío
New Benjaminland,New Jersey,Turkey,908006,Tropical
Kristenport,Maryland,Bangladesh,655065,Frío
Port Donaldburgh,New Jersey,Madagascar,593789,Frío
Haroldfurt,Oregon,Sierra Leone,409904,Templado
Codyport,Alaska,Equatorial Guinea,742768,Templado
Thompsonburgh,Texas,Cook Islands,571855,Tropical
North Paulmouth,West Virginia,Liberia,914236,Frío
Raymondport,North Dakota,Fiji,384294,Seco
Victoriaville,Tennessee,Monaco,765358,Frío
New Laurieside,Utah,Greece,799459,Frío
Richardhaven,Florida,Mexico,149877,Seco
Hallfurt,New Jersey,Somalia,628349,Templado
Barnesborough,Maine,Cuba,604360,Templado
East Scottborough,Arkansas,Cuba,463969,Frío
Jamesfurt,Georgia,Luxembourg,368072,Tropical
New Amandafort,Nevada,Dominican Republic,531920,Seco
Carlsonfort,Virginia,Iran,527926,Templado
Kennedychester,Colorado,Comoros,751198,Seco
Soniamouth,Massachusetts,Senegal,778373,Tropical
Kathleenberg,Maryland,Singapore,266034,Tropical
Hullfurt,New Jersey,Paraguay,553226,Seco
New Ashleyhaven,California,Gibraltar,590912,Frío
East Joshuatown,Connecticut,Uganda,624126,Tropical
Kylechester,Rhode Island,Tunisia,481922,Tropical
New Courtney,Washington,United States Minor Outlying Islands,418023,Frío
Robertsonberg,Utah,India,734543,Tropical
Andersonton,Michigan,Martinique,468038,Tropical
West Tonyafort,Idaho,Cayman Islands,635538,Frío
Nicoleville,Texas,Chile,216676,Frío
Lauraville,Hawaii,Netherlands Antilles,234236,Templado
Petersonfurt,Oregon,Hong Kong,444373,Seco
Brownberg,New York,Comoros,222300,Templado
Port Heather,California,Saudi Arabia,483118,Tropical
Cowanhaven,Hawaii,Ecuador,520436,Frío
Savannahbury,Massachusetts,Guernsey,68128,Seco
Norrisport,Colorado,Sao Tome and Principe,567220,Seco
Robertmouth,Wyoming,United Kingdom,77356,Seco
Gonzalesburgh,Oklahoma,Belarus,356154,Seco
South Jacquelinechester,New Hampshire,Venezuela,852539,Tropical
South Susan,Louisiana,Tajikistan,542899,Seco
Wrightview,Colorado,Sri Lanka,435529,Templado
North Emilyhaven,Kentucky,Qatar,72293,Frío
South Dawnbury,Nevada,Fiji,996683,Seco
Josephtown,Arkansas,Somalia,752444,Seco
East Ricardoland,Nevada,Jordan,564036,Frío
New Matthew,Hawaii,Tunisia,847991,Tropical
Buckleytown,Nevada,Botswana,392791,Frío
Paulstad,Maine,North Macedonia,611228,Seco
Smithmouth,Washington,Anguilla,490557,Frío
West Pamela,Alabama,Iran,331546,Seco
East Matthewbury,West Virginia,Bouvet Island (Bouvetoya),765918,Frío
Port Alyssashire,Alabama,Ukraine,709424,Tropical
Brooksshire,Florida,Guinea,672823,Tropical
Meghanport,Michigan,British Virgin Islands,592749,Tropical
Myerstown,Alaska,Aruba,213103,Tropical
Krystalchester,Hawaii,Spain,184693,Seco
South Stevenview,Vermont,Cyprus,335752,Frío
Jeanhaven,Alabama,Romania,641696,Seco
East Emilytown,New York,Austria,947078,Templado
Hodgeside,South Carolina,Jersey,274603,Frío
North Jonathanfort,Wisconsin,Ghana,189170,Seco
South Staceyport,Louisiana,Madagascar,927446,Templado
Lake Scottton,Arizona,Central African Republic,114253,Seco
South Raymond,Kentucky,Lebanon,887992,Frío
Gateschester,New Hampshire,Gambia,723036,Seco
Alanmouth,Alaska,Dominican Republic,209338,Seco
Michaelmouth,Idaho,Saint Kitts and Nevis,298072,Tropical
New Richard,South Dakota,Netherlands,325765,Templado
Laurafort,Nebraska,Falkland Islands (Malvinas),804291,Seco
Port Jonathan,Hawaii,Cape Verde,986715,Tropical
West Williehaven,South Carolina,Suriname,412739,Tropical
South Johnfurt,West Virginia,Cocos (Keeling) Islands,380018,Seco
Kathleenbury,Iowa,Samoa,551851,Tropical
Kelseyside,Arizona,Cote d'Ivoire,616687,Tropical
Harveyfurt,Connecticut,Romania,845693,Frío
Thompsonhaven,Arizona,Samoa,241197,Tropical
Jasonbury,New Jersey,Taiwan,475603,Seco
Christopherbury,New Jersey,Sweden,344211,Frío
New Mark,New Jersey,Ghana,781500,Tropical
East Donald,Nebraska,Jamaica,108162,Frío
Tammyland,Vermont,Mongolia,963071,Templado
Craneton,Maine,Panama,152876,Tropical
South Christopherfurt,Arkansas,Liberia,778156,Frío
Port Dennisbury,Tennessee,Faroe Islands,533994,Seco
Silvaport,Vermont,Heard Island and McDonald Islands,784470,Tropical
Rojashaven,Ohio,Montenegro,683076,Frío
West Lauren,Michigan,Grenada,907817,Seco
Barbaraburgh,Utah,Argentina,408106,Seco
Lake Ethanberg,North Carolina,Lesotho,321756,Seco
East Elizabethhaven,Maine,Argentina,746943,Frío
New Benjaminhaven,Kansas,Wallis and Futuna,756202,Templado
East Emilytown,Alaska,United States Virgin Islands,759992,Tropical
Port Bretthaven,Wyoming,Guam,78336,Templado
Grayview,Alabama,Vanuatu,312222,Frío
Kerrview,Pennsylvania,Central African Republic,825410,Tropical
Port Brian,North Carolina,Ethiopia,204885,Templado
Melissaside,Minnesota,Ethiopia,87368,Tropical
Riveraside,Utah,Canada,709956,Tropical
Hessshire,New Hampshire,Azerbaijan,728738,Templado
South Yvonne,Utah,Cayman Islands,862273,Frío
South Austinbury,Louisiana,Central African Republic,253104,Seco
East Josephshire,Georgia,Iran,563808,Templado
Christopherchester,Utah,Switzerland,161305,Templado
Nelsonville,Tennessee,El Salvador,192668,Tropical
Dianeland,Kentucky,Antarctica (the territory South of 60 deg S),568999,Templado
Port Elizabethburgh,Oklahoma,Syrian Arab Republic,901483,Frío
Williamview,Florida,Peru,59254,Tropical
Alexanderbury,South Carolina,Guam,75858,Tropical
Nelsonview,Massachusetts,Congo,585401,Tropical
Markland,South Dakota,Czech Republic,615436,Tropical
Port Erin,Ohio,Netherlands,926118,Seco
East David,Florida,Tokelau,71009,Seco
East Bryceview,Maryland,Saint Martin,420438,Seco
Nealland,North Carolina,Senegal,173496,Seco
Amyborough,Wyoming,Iceland,358565,Tropical
Danielstad,Iowa,Netherlands,770817,Seco
Port Patriciaburgh,California,United States Minor Outlying Islands,310250,Seco
West Adamstad,Pennsylvania,Norway,459802,Seco
Dicksonfort,New Hampshire,Israel,59141,Seco
New Sharon,Hawaii,Mayotte,935220,Templado
West Nicholas,Mississippi,New Caledonia,399140,Seco
South Susan,Kentucky,British Virgin Islands,711911,Seco
Lake Zachary,Arizona,Palestinian Territory,793547,Seco
Cynthiaville,Hawaii,Djibouti,784678,Seco
West Wendyside,Wisconsin,Svalbard & Jan Mayen Islands,629911,Frío
West Amanda,South Carolina,Barbados,578025,Templado
Lake Shelleyport,South Carolina,Antigua and Barbuda,897999,Seco
Port Carriestad,North Dakota,Aruba,543939,Templado
Port Julian,Washington,Cook Islands,356781,Seco
Port Christopher,New Mexico,France,318968,Tropical
Justinberg,Michigan,Saint Vincent and the Grenadines,915474,Frío
West Stefanie,Texas,North Macedonia,731629,Tropical
North Jennifer,Wisconsin,Bahrain,569448,Tropical
Stephanieberg,Wisconsin,Guernsey,691375,Seco
Connerstad,South Carolina,Italy,647826,Seco
New Mary,Delaware,Togo,354523,Tropical
South Barbaraborough,Pennsylvania,Cape Verde,98460,Seco
Lopezbury,Delaware,Niger,282604,Templado
Andreaside,Tennessee,Lithuania,372128,Frío
Harrisonside,New York,Netherlands,787224,Tropical
Stewartburgh,North Dakota,Christmas Island,147472,Frío
East Stephaniehaven,Arizona,Belgium,335934,Tropical
Johnshire,Iowa,Benin,691526,Templado
East Sharon,Vermont,Dominica,104488,Tropical
Sosahaven,Connecticut,Cyprus,411874,Tropical
East Phyllisburgh,Missouri,French Southern Territories,987960,Templado
Jenniferview,Georgia,Singapore,727803,Frío
South Alexis,West Virginia,Nigeria,788415,Tropical
West Savannahton,South Dakota,Christmas Island,230056,Frío
South Meghan,Iowa,French Guiana,209412,Tropical
West Terrance,Alabama,Belarus,744380,Frío
Port Erikafort,Delaware,Grenada,894734,Frío
Gonzalezborough,Kansas,Norfolk Island,886286,Frío
New Kennethberg,Utah,Bolivia,805550,Seco
East Megan,North Dakota,Korea,906072,Seco
New Daniel,Delaware,Isle of Man,193161,Templado
Robertmouth,North Dakota,Holy See (Vatican City State),487930,Frío
New Barbara,Michigan,Rwanda,202817,Seco
Tinahaven,Massachusetts,Seychelles,368824,Frío
Mcdonaldfurt,California,South Georgia and the South Sandwich Islands,454286,Frío
North Alexanderburgh,West Virginia,Mayotte,852297,Seco
Port Angelaberg,Oregon,Malawi,495126,Tropical
Cooperborough,Delaware,Tonga,164786,Tropical
Gregorybury,Wisconsin,Central African Republic,817066,Templado
Russellport,Oregon,Svalbard & Jan Mayen Islands,190033,Seco
Stevefort,North Carolina,Germany,857437,Templado
Howardtown,Mississippi,Philippines,291336,Templado
New Tracystad,Connecticut,Trinidad and Tobago,596944,Frío
North Melissaport,Illinois,Kuwait,112947,Tropical
Port Anna,Missouri,Gabon,318144,Frío
East James,New Jersey,El Salvador,509359,Frío
New Tinafort,New Hampshire,Afghanistan,390115,Tropical
Lake Christiemouth,Maine,Mali,871301,Seco
Port Dominiqueside,Kansas,Djibouti,802518,Frío
West Edward,Michigan,Syrian Arab Republic,865996,Tropical
North Jameston,Illinois,Vietnam,535723,Seco
South Vanessa,Michigan,Sweden,208555,Frío
Michaelmouth,Nevada,Argentina,771042,Templado
Reynoldsstad,Massachusetts,Anguilla,162607,Tropical
North Emilyberg,Arkansas,Maldives,239924,Seco
West Bryceshire,Maryland,Central African Republic,831935,Frío
Hannahland,Michigan,Malawi,591407,Frío
South Michaela,Idaho,Guadeloupe,51695,Templado
Elizabethmouth,Nebraska,Svalbard & Jan Mayen Islands,855352,Tropical
Lopezport,Montana,Mexico,812710,Seco
Bruceshire,Ohio,Holy See (Vatican City State),154773,Seco
West Janetchester,Idaho,Armenia,225234,Templado
Jenniferstad,Michigan,Martinique,53968,Templado
North Morganhaven,Wyoming,Portugal,268003,Frío
Lewisport,New Hampshire,Mauritius,423944,Tropical
Jenniferland,Montana,Saint Pierre and Miquelon,464253,Seco
Hallview,New Hampshire,Japan,348530,Frío
Brianshire,Tennessee,Rwanda,613264,Tropical
Lake Christine,Oklahoma,Tonga,224551,Templado
West Edwardside,Ohio,Zimbabwe,563967,Tropical
Mitchellfort,Wyoming,Rwanda,976664,Frío
South Joshuafort,Wisconsin,Fiji,695532,Tropical
Port Brendaland,Kansas,Mexico,159193,Frío
Amyborough,Florida,Burundi,179071,Templado
Huangfurt,Virginia,United States Minor Outlying Islands,905057,Templado
Loriport,Oklahoma,New Caledonia,242988,Tropical
East Anneburgh,Oklahoma,Montenegro,254825,Templado
Bryantmouth,Wyoming,Chile,319020,Tropical
Derrickbury,New Mexico,Norfolk Island,735116,Seco
North Kristaland,Michigan,Malawi,646538,Frío
New Morganside,Minnesota,Saint Barthelemy,117169,Seco
Kylefurt,Alaska,Liberia,745825,Tropical
Lake Michaelshire,Georgia,Bhutan,669873,Templado
Port Andrew,Ohio,Isle of Man,787608,Seco
Lake Jamesmouth,Utah,Congo,100303,Tropical
New Christinastad,Wisconsin,Maldives,506862,Frío
Dawnborough,Texas,Dominica,672788,Tropical
East Scotthaven,Vermont,Slovakia (Slovak Republic),127919,Tropical
Teresahaven,California,Suriname,311306,Seco
Port Maria,South Dakota,Israel,870344,Templado
Lake Richard,South Carolina,Fiji,623779,Seco
Port Danielleville,Nevada,Saudi Arabia,435705,Seco
Sarahmouth,South Dakota,Moldova,95248,Templado
Cassandrastad,Washington,Syrian Arab Republic,363705,Tropical
Tabithaberg,Kentucky,Saint Martin,846937,Templado
Lake Michaelstad,Ohio,Qatar,240467,Tropical
New Nicoleside,Pennsylvania,Korea,863948,Templado
Christophershire,Oklahoma,Italy,439650,Tropical
West Christopher,Alabama,Suriname,374336,Seco
Alexandraberg,New Mexico,Botswana,650777,Seco
North Mirandastad,Oklahoma,China,160211,Frío
West Johnmouth,Georgia,Panama,830780,Frío
South Danny,Alabama,Cuba,991323,Templado
Williamsfort,Tennessee,Kenya,223388,Frío
North Katiemouth,Kansas,Equatorial Guinea,469767,Tropical
Smithbury,Idaho,Martinique,343517,Seco
West Mikeside,Massachusetts,Ukraine,837156,Frío
New Michaelchester,New Hampshire,Honduras,663875,Tropical
Stacyfurt,Nevada,Suriname,838264,Frío
Smithmouth,Illinois,Belarus,225574,Templado
Lake Andrew,Iowa,Saint Martin,745621,Templado
Lake Brendabury,Mississippi,New Caledonia,434384,Seco
Fergusonshire,New York,Cook Islands,360943,Templado
Lake Tina,Delaware,Albania,313600,Templado
Mcknightborough,Florida,Antigua and Barbuda,184323,Templado
Port Barbara,Massachusetts,Samoa,913002,Seco
Thomaschester,South Dakota,Saint Barthelemy,212704,Seco
Debraborough,Oklahoma,Philippines,473241,Tropical
Nguyenhaven,Ohio,Romania,670573,Tropical
Joshuafort,Utah,Estonia,570019,Seco
New Jamesfurt,Kansas,Mozambique,441180,Seco
South Mackenzieborough,Massachusetts,Timor-Leste,345244,Frío
North Carol,Alabama,Lao People's Democratic Republic,878578,Seco
East Marissa,Virginia,Fiji,516594,Frío
New Sharon,Mississippi,Jamaica,593240,Tropical
Wardport,Wisconsin,Antigua and Barbuda,334950,Tropical
East Carolynfort,Alaska,Fiji,428286,Tropical
North Deborah,North Dakota,Svalbard & Jan Mayen Islands,274681,Seco
Cruzhaven,Missouri,Croatia,166093,Frío
New Nicholasburgh,New York,Belize,392209,Frío
Kennethstad,Maine,French Guiana,693545,Frío
East Elizabethfurt,Kansas,Reunion,292004,Frío
Wilsonmouth,Indiana,Mauritius,502827,Frío
Lake Jonathanburgh,Montana,Turkmenistan,310550,Tropical
Jacquelineport,Minnesota,Burkina Faso,358211,Seco
Cohenmouth,New Hampshire,Cook Islands,604829,Templado
Port Williamshire,Mississippi,Martinique,714964,Tropical
Joseland,North Dakota,Zimbabwe,218676,Seco
Trevinohaven,West Virginia,Saint Barthelemy,605792,Frío
West Lisaburgh,Idaho,Western Sahara,981159,Seco
Ritaport,Alaska,Djibouti,895881,Seco
Karifort,Alabama,Wallis and Futuna,108415,Seco
East Scott,New Jersey,New Zealand,687926,Tropical
South John,New York,China,971926,Frío
Gomezhaven,Maryland,Eritrea,408239,Seco
North Julian,Utah,British Virgin Islands,482154,Seco
Port Anna,Tennessee,French Guiana,271970,Frío
North Shirley,Oregon,Lebanon,951946,Templado
Cochranshire,Connecticut,Andorra,90419,Frío
East Jamesmouth,Vermont,Burundi,743015,Seco
Christinafort,Florida,Niue,701516,Templado
New Calvinborough,Iowa,Grenada,834038,Tropical
South Johnchester,Maryland,Cameroon,59532,Seco
Georgestad,Washington,Estonia,936217,Templado
New Jesus,Tennessee,Mexico,417912,Tropical
Simmonsburgh,Illinois,Suriname,863430,Templado
East Jessica,Florida,Faroe Islands,984917,Seco
Kelseyport,Rhode Island,Benin,499106,Tropical
Glennborough,Illinois,Burkina Faso,154016,Tropical
East Stephen,North Carolina,Liberia,682965,Seco
Luisbury,Alaska,India,794441,Frío
Mayburgh,Colorado,Australia,371786,Frío
Davidville,New Hampshire,Finland,90424,Templado
Port Michelle,Florida,United States of America,366618,Frío
Kentstad,California,Spain,395735,Frío
West Williammouth,Kentucky,Austria,666951,Templado
Lake Veronica,Missouri,Paraguay,857419,Tropical
Stevenview,South Dakota,Mozambique,344946,Templado
North Coreystad,Kentucky,Tonga,850116,Tropical
Meganchester,Idaho,South Georgia and the South Sandwich Islands,693583,Tropical
Rebeccastad,Idaho,Vietnam,269476,Seco
West Stevenland,Virginia,Mongolia,570790,Seco
West Adamport,Georgia,Gambia,525137,Frío
Port Lisafort,Indiana,Greece,258911,Templado
New Susanshire,Iowa,Romania,634527,Frío
South Phillip,Texas,San Marino,259468,Seco
South Howard,Nevada,Turkmenistan,999265,Frío
Palmermouth,Michigan,Bangladesh,455918,Tropical
Port Tomview,Arizona,Kazakhstan,478535,Tropical
West Charles,Florida,Mozambique,462764,Tropical
Sabrinaport,New Mexico,Nicaragua,993050,Seco
East Rebeccastad,South Carolina,Kuwait,369633,Tropical
Mcneilton,New Mexico,Cocos (Keeling) Islands,830723,Tropical
Taratown,Vermont,Isle of Man,609032,Tropical
Lake Robertstad,Virginia,Iran,956109,Seco
Pierceville,Idaho,Wallis and Futuna,575772,Frío
West Jessicamouth,South Carolina,Kuwait,156391,Tropical
South Walterhaven,Delaware,Kiribati,761897,Tropical
Leonardmouth,Maryland,Central African Republic,628853,Tropical
Williamburgh,Nevada,Iceland,75334,Tropical
Raymondfurt,South Carolina,Philippines,166333,Tropical
Pattersonburgh,Indiana,Costa Rica,799715,Frío
New Adamborough,Kansas,Turkmenistan,502710,Frío
East Robert,Illinois,Colombia,899967,Frío
Petersonshire,Louisiana,Croatia,335707,Seco
Jonesstad,New York,Benin,546858,Tropical
Jeremyside,Louisiana,Congo,233742,Tropical
Port Josephberg,Tennessee,Honduras,618753,Templado
Tammyton,Washington,Hungary,599651,Tropical
South Earlland,West Virginia,Saudi Arabia,525845,Templado
North Jenniferview,Wisconsin,Gambia,538006,Seco
South Joshuaview,North Carolina,Ecuador,640594,Templado
Weaverbury,Pennsylvania,Zambia,211211,Templado
North Kerry,Indiana,Lithuania,128177,Templado
South Albert,Hawaii,Sao Tome and Principe,407209,Templado
New Davidborough,Nebraska,Egypt,198758,Seco
East Michelebury,Virginia,Antigua and Barbuda,688862,Frío
Cynthiastad,Texas,Greenland,689449,Frío
