nombre,departamento,pais,poblacion,clima
New Phillip,Minnesota,Philippines,454234,Frío
Rebeccaside,Florida,Nepal,523439,Templado
Lake Donnastad,North Dakota,Congo,439031,Seco
Contrerasborough,California,Swaziland,373676,Seco
Lauraton,Illinois,Tanzania,934268,Seco
Dillonburgh,Virginia,Liberia,61804,Templado
West Robertburgh,Washington,Kyrgyz Republic,541000,Seco
New Pamelamouth,North Carolina,Monaco,863222,Frío
North Amyport,Rhode Island,Slovakia (Slovak Republic),477315,Frío
Cynthialand,Oregon,Tonga,232063,Seco
New Matthew,Tennessee,Sweden,850689,Seco
Port Todd,Maryland,Italy,937472,Tropical
Ayalafort,Maryland,Vanuatu,625888,Tropical
New Branditown,North Carolina,Falkland Islands (Malvinas),953545,Frío
Lake Victorhaven,Mississippi,Slovakia (Slovak Republic),182427,Tropical
Lake Jameston,Rhode Island,Singapore,900827,Templado
Kentville,Michigan,Nauru,201634,Seco
Singletonport,Florida,Kenya,297775,Tropical
Lake Alexander,Pennsylvania,Namibia,964535,Frío
Davilaton,South Carolina,Angola,934616,Tropical
Melanieton,Illinois,Bangladesh,861996,Templado
East Amber,Wisconsin,Brazil,931400,Tropical
Lake Paula,Tennessee,Afghanistan,230906,Templado
North Alfredchester,Mississippi,South Africa,471142,Templado
Rebeccaborough,Montana,Kuwait,267233,Tropical
Kennedystad,Arkansas,Mauritius,957652,Frío
Andreaburgh,Montana,Russian Federation,235229,Seco
Holtfort,Louisiana,North Macedonia,599227,Frío
Lake Mandychester,South Dakota,Croatia,281895,Seco
Jasmineville,Virginia,Brunei Darussalam,772581,Seco
South Patrickview,Wyoming,Seychelles,678391,Templado
East Alexis,Kentucky,Serbia,523553,Tropical
Merritthaven,Alabama,Panama,74724,Tropical
Port Evan,Missouri,Ghana,211020,Tropical
Millerfort,Oklahoma,Egypt,691915,Templado
Cookfort,Kentucky,India,948076,Seco
Seanfurt,Minnesota,Guernsey,989989,Templado
East Chelseashire,New Hampshire,Northern Mariana Islands,582540,Templado
Katherinehaven,Nebraska,Oman,737400,Seco
Bryanshire,Michigan,Japan,481698,Templado
Emilyport,New York,Saint Barthelemy,708165,Templado
South Troyview,North Carolina,Norfolk Island,87335,Templado
New Valerieton,Washington,Moldova,223827,Tropical
Lake Rebecca,Arizona,Mexico,412161,Templado
Port Brandishire,Ohio,Netherlands,420403,Frío
Ellismouth,New Mexico,Australia,928948,Seco
Donnaberg,Missouri,Slovakia (Slovak Republic),861838,Tropical
Reedberg,Maine,Turkmenistan,486747,Tropical
Phillipport,Louisiana,Hungary,756496,Frío
South Samantha,California,Senegal,487103,Frío
Lake David,North Carolina,Egypt,650103,Seco
North Marcus,Louisiana,Cyprus,874208,Tropical
North Jefftown,North Carolina,Zimbabwe,229717,Tropical
South Douglasberg,Ohio,Guinea-Bissau,743187,Templado
Rogertown,Idaho,Reunion,459054,Templado
North Maryborough,Maine,Timor-Leste,280634,Frío
North Jacqueline,Ohio,French Southern Territories,910924,Tropical
Meaganmouth,Missouri,New Caledonia,415777,Seco
Port Dawnfurt,Louisiana,Sri Lanka,706924,Seco
Christopherborough,Connecticut,Papua New Guinea,646703,Tropical
Jenniferburgh,Massachusetts,Haiti,848700,Templado
East Sarahland,Kansas,Barbados,514838,Frío
Port Emily,Missouri,Liechtenstein,714770,Frío
North Sharonland,Wisconsin,Pakistan,927412,Seco
Port Dawnview,Kansas,Latvia,108809,Templado
Williamsburgh,Michigan,Korea,572670,Tropical
West Douglasside,Mississippi,Togo,983550,Seco
Jordanfurt,Maryland,Congo,103513,Seco
Port Bonnie,North Carolina,Saint Lucia,818648,Frío
Josephton,Ohio,Bouvet Island (Bouvetoya),431740,Templado
Wilkersonton,Nebraska,Saint Lucia,191230,Tropical
Villegasmouth,North Carolina,Pitcairn Islands,389421,Tropical
South Samantha,New Hampshire,Kuwait,754731,Tropical
Oneillchester,Kentucky,Lebanon,277202,Tropical
Lewisfort,Arizona,Liechtenstein,180556,Seco
North Brentchester,Texas,Saint Lucia,83514,Seco
Larrytown,Kentucky,Turkey,624497,Frío
Davisbury,Virginia,Fiji,416735,Tropical
Kimberlyport,Oklahoma,Antigua and Barbuda,139907,Tropical
Knoxville,Hawaii,United States Minor Outlying Islands,388273,Templado
Port Craig,New Jersey,Uzbekistan,145131,Tropical
Lake Gabrielle,New Mexico,Bulgaria,813850,Tropical
Glennfurt,Wisconsin,Zambia,403355,Seco
North Tammiefurt,Maryland,Gibraltar,531426,Seco
East Benjamin,Alabama,Cyprus,711851,Frío
North Daniel,Texas,Egypt,875138,Frío
Samuelmouth,Vermont,Algeria,874130,Frío
Hensonshire,Nevada,Brunei Darussalam,725913,Frío
Port Jacqueline,Arizona,Belgium,867503,Templado
South Autumn,Utah,Belize,379421,Frío
South Eric,Nebraska,Tunisia,976229,Templado
Johnsonmouth,New Hampshire,Somalia,832797,Tropical
Villegashaven,Louisiana,Costa Rica,51114,Frío
Kellyland,Michigan,Sri Lanka,504383,Seco
Lake Felicia,Missouri,Lesotho,453453,Tropical
Amandamouth,Idaho,Reunion,149826,Frío
Johnsonview,Pennsylvania,Ghana,85444,Templado
Robinsonchester,Colorado,Liechtenstein,330471,Frío
Lopezborough,Massachusetts,Japan,877236,Seco
Weberburgh,Illinois,Christmas Island,126243,Frío
Josephtown,New Jersey,Norfolk Island,938787,Templado
South Alicia,Michigan,Guyana,103398,Tropical
Port Johnchester,Colorado,Montenegro,634107,Tropical
North Waynefort,Washington,Israel,450927,Tropical
Emmachester,Oregon,Hong Kong,538775,Templado
Delgadoside,Indiana,Isle of Man,463309,Frío
Williamsonport,Alabama,Central African Republic,800016,Templado
Katieton,South Dakota,Sudan,595499,Tropical
Alexismouth,Mississippi,Congo,441013,Templado
Ronaldfort,South Dakota,South Georgia and the South Sandwich Islands,277158,Frío
Andrewchester,Kansas,Czech Republic,819986,Tropical
Mendozaton,California,Pitcairn Islands,720309,Tropical
Lake Joshua,Rhode Island,Malaysia,292687,Seco
Lake Craigville,Maine,Slovakia (Slovak Republic),723455,Tropical
Lake Justinborough,Wisconsin,Svalbard & Jan Mayen Islands,422999,Templado
Michaelmouth,Ohio,Paraguay,144277,Frío
Youngview,Kentucky,Singapore,219396,Templado
Staffordview,Idaho,Indonesia,708535,Frío
Johnsonmouth,Oklahoma,Tanzania,242807,Templado
Jamesland,North Dakota,Bulgaria,858196,Frío
East Kimview,Vermont,Tunisia,667384,Frío
New Brittanyhaven,Missouri,Tokelau,787637,Tropical
Lake David,Texas,Anguilla,645290,Templado
Williamsland,Arkansas,Holy See (Vatican City State),450050,Seco
Nicoleville,Delaware,Taiwan,506722,Seco
South Melissafort,Minnesota,Costa Rica,996505,Tropical
New Williamton,Montana,Martinique,893599,Templado
Williamshaven,Alabama,Zambia,60682,Frío
South Morganberg,Mississippi,Cuba,993042,Templado
Williamsshire,Washington,Equatorial Guinea,743594,Frío
Frankhaven,New Hampshire,Tajikistan,82496,Frío
North Michael,Virginia,Christmas Island,980754,Templado
Josephtown,Connecticut,Zambia,440881,Tropical
North Gabrieltown,Maryland,Palestinian Territory,839116,Templado
Thomasburgh,Idaho,Liechtenstein,369488,Templado
Port Katherine,Minnesota,Holy See (Vatican City State),581698,Seco
Port Lisashire,Kentucky,Iraq,800478,Templado
Taylorshire,Wisconsin,Indonesia,178658,Frío
Williamborough,Alabama,Bermuda,500657,Frío
South Andrea,Maryland,Serbia,680208,Tropical
Arellanomouth,Indiana,Trinidad and Tobago,752766,Frío
Jorgeport,Pennsylvania,Seychelles,922045,Frío
Heathertown,Iowa,Syrian Arab Republic,936178,Tropical
Cassandraside,Hawaii,Serbia,228781,Seco
South Debbieburgh,California,Myanmar,792382,Tropical
South Coreyfurt,Utah,Timor-Leste,735187,Frío
Olsonburgh,Arkansas,Ukraine,938208,Templado
South Julianborough,Kentucky,Papua New Guinea,461355,Seco
New Gregoryville,Utah,French Guiana,958836,Templado
East Kim,Missouri,Botswana,980395,Templado
North Davidmouth,Nevada,Cook Islands,712750,Seco
Tinaville,Utah,Pakistan,669522,Tropical
Rebeccaside,Nebraska,Panama,255951,Frío
North Ryan,Arkansas,Saint Lucia,577720,Frío
Kevinville,Delaware,Albania,864280,Templado
East Claudia,Louisiana,Faroe Islands,556195,Templado
New Brittany,North Dakota,Cook Islands,161222,Templado
Wilsonmouth,Kansas,Brazil,252151,Tropical
New Kimberlyville,Minnesota,Gabon,751390,Seco
East Jamesland,New Mexico,Belize,580941,Templado
Kanebury,Hawaii,Iran,389286,Templado
East Jessicabury,Iowa,Tokelau,360544,Frío
New Kaitlyn,Georgia,Kuwait,570030,Tropical
Dorisberg,New Hampshire,Saint Kitts and Nevis,236673,Frío
Romanview,Alaska,Tonga,165549,Seco
North Margaret,Maryland,Cook Islands,938851,Frío
Jennifertown,Louisiana,Oman,180372,Templado
Nicholasland,Massachusetts,Chad,977322,Tropical
North Jim,Pennsylvania,Greenland,392478,Tropical
Bradleyberg,Pennsylvania,Mayotte,680970,Seco
North Brent,Texas,Denmark,832985,Templado
Rebeccaville,Pennsylvania,Dominican Republic,834736,Tropical
Teresamouth,Massachusetts,Aruba,540965,Seco
Crystalmouth,Kentucky,Saint Pierre and Miquelon,781550,Seco
Port Katiefurt,Kentucky,Russian Federation,133294,Frío
Velezland,South Carolina,Korea,667034,Templado
Kaylaview,Wyoming,American Samoa,733663,Seco
East Ronaldberg,Rhode Island,Western Sahara,970431,Tropical
Davidhaven,Alabama,Cuba,608098,Templado
East Christopherburgh,Colorado,Madagascar,493598,Frío
South Eddiefort,Wyoming,Uganda,120008,Frío
Matthewfort,Delaware,Sweden,594400,Frío
West Davidberg,Washington,Thailand,213199,Tropical
North Pamela,Oklahoma,Grenada,198645,Frío
Patrickport,Wyoming,Saint Barthelemy,326122,Seco
Lauratown,New Hampshire,Reunion,602677,Templado
Port Brian,Oregon,Jersey,671848,Templado
Hernandezville,Tennessee,Czech Republic,435559,Frío
Hunterburgh,Texas,Ghana,636694,Frío
East Danny,Arkansas,Croatia,998364,Tropical
East Kayla,Minnesota,Austria,980165,Seco
Courtneyport,Arizona,Ethiopia,231359,Templado
Lake Eric,Wisconsin,Hong Kong,634543,Frío
Nathanielshire,Vermont,Mauritius,514273,Tropical
Melendezport,Pennsylvania,Macao,272544,Tropical
Port Ericmouth,Connecticut,Mauritania,805692,Seco
Parksfurt,Wisconsin,Vanuatu,730630,Templado
Stanleyton,Utah,Guam,854643,Tropical
New Stephanie,California,Bermuda,452674,Tropical
Kevinmouth,Texas,Bolivia,160791,Seco
Lake Hannah,Delaware,Nigeria,374643,Seco
Lake Anthonyberg,New York,Nepal,225117,Frío
Alvarezstad,Washington,Solomon Islands,925148,Frío
Castilloberg,Louisiana,Russian Federation,108409,Seco
Rodneyside,Oregon,Liberia,573067,Frío
North Daniel,California,Andorra,905046,Templado
Nathanborough,Tennessee,Uruguay,570020,Seco
East Jennifer,Indiana,Norfolk Island,128829,Frío
West Jacqueline,Nevada,Barbados,547544,Templado
North Aimee,Colorado,Iceland,431687,Templado
South Edwardshire,New Jersey,French Guiana,570362,Frío
Samanthamouth,Alaska,Israel,703576,Templado
Bobbyhaven,Washington,Switzerland,450961,Seco
West Jacqueline,Maine,Taiwan,273615,Frío
New Michaelmouth,Vermont,Italy,403152,Seco
Annaside,Montana,Lebanon,451149,Templado
East Joshua,Tennessee,Belarus,156722,Seco
Randyshire,South Carolina,Puerto Rico,453267,Templado
Longstad,Wyoming,Jordan,626771,Seco
Aliciabury,Missouri,Cape Verde,468140,Templado
Johnland,North Carolina,Tuvalu,817780,Frío
West Angelbury,Minnesota,Andorra,482691,Templado
West Katherineborough,Kansas,Saint Martin,601997,Seco
Mendozatown,New Jersey,Cape Verde,74703,Tropical
Lake Amber,Louisiana,United States of America,799811,Templado
Hayesview,Florida,Dominican Republic,994728,Frío
North Daniel,New Hampshire,Norway,679398,Templado
Jacksonbury,Alaska,Antarctica (the territory South of 60 deg S),812331,Templado
East Bruce,New Hampshire,India,487138,Tropical
East Nathaniel,New York,Saint Helena,270235,Seco
Andersonborough,Wyoming,Hungary,312190,Frío
Mitchellbury,Oklahoma,French Guiana,968160,Frío
West Christopher,South Dakota,El Salvador,599248,Seco
Port Sandraville,Ohio,Iraq,843711,Frío
New Jason,Alabama,Monaco,732185,Seco
Anthonystad,Maryland,Cook Islands,955478,Templado
Pearsonhaven,Georgia,Hong Kong,905242,Frío
Williamsside,Montana,Moldova,305335,Templado
Jerryburgh,Utah,Sweden,230190,Templado
Port Bradley,Maryland,Comoros,701635,Tropical
New Williamton,Minnesota,Montenegro,143891,Seco
Michaelberg,South Carolina,Uganda,611512,Seco
Mejiastad,Idaho,Guinea-Bissau,850870,Tropical
West Leslieside,Idaho,Ethiopia,394117,Frío
Powersstad,Louisiana,Namibia,418428,Templado
Dennisside,South Carolina,Ireland,770835,Frío
East Christopherhaven,Kentucky,Isle of Man,601919,Templado
South Marcusstad,Georgia,Grenada,660206,Templado
South Craig,Michigan,Zambia,880386,Tropical
Rogersmouth,South Carolina,Palestinian Territory,394275,Seco
Aaronmouth,New Hampshire,Argentina,457068,Seco
New Isabella,South Dakota,Mali,555967,Frío
West Donaldstad,Louisiana,Indonesia,802337,Templado
East Stevenstad,Delaware,Timor-Leste,429099,Templado
Perezmouth,Delaware,Russian Federation,496226,Frío
Amberview,South Dakota,Australia,632498,Seco
Port Traci,Oregon,Colombia,655755,Seco
North Jared,Georgia,Estonia,300146,Seco
Port Melissaport,Nebraska,Botswana,240431,Tropical
Emilyfort,New York,Angola,536801,Templado
Gonzalezview,Wisconsin,Jamaica,903822,Seco
North Carolynview,Missouri,Bahrain,485512,Frío
South Sherri,Idaho,Cameroon,898928,Seco
Scottton,Idaho,Mali,488182,Tropical
Port Justinberg,West Virginia,Macao,647544,Templado
New Michaelport,Minnesota,Sweden,350662,Seco
New Victormouth,Ohio,Guatemala,106470,Seco
New Seanmouth,California,Turkey,935937,Tropical
South Brittany,Montana,Venezuela,903095,Seco
Robertfurt,Florida,Guinea,419157,Tropical
Joelview,Georgia,Belgium,811831,Frío
Michaelstad,Massachusetts,Luxembourg,89870,Tropical
West Richardfort,Kentucky,Barbados,628877,Seco
East John,Missouri,Singapore,426230,Templado
Lake David,Rhode Island,Georgia,481976,Tropical
Beckytown,Arkansas,Eritrea,846045,Templado
Lake Sarah,Connecticut,Mauritius,852624,Templado
Garciaberg,Oklahoma,Mayotte,481184,Seco
Melissahaven,Louisiana,Netherlands,933737,Seco
Amystad,Idaho,Cote d'Ivoire,194552,Seco
New Peterville,Missouri,Nigeria,951301,Templado
South Jenniferberg,Kansas,Chile,964268,Templado
North Steven,Massachusetts,Congo,287854,Templado
Port Steventown,Hawaii,Romania,317263,Tropical
Lake Rhondaville,Connecticut,Timor-Leste,214272,Seco
New Cherylchester,Alabama,Trinidad and Tobago,396024,Tropical
Lake Tracyport,Wyoming,Poland,140029,Frío
South Laura,Iowa,Mexico,439052,Tropical
Virginiaton,Indiana,Korea,565769,Tropical
Port Charleshaven,Arkansas,Belgium,105416,Tropical
New Haley,New Jersey,Netherlands Antilles,141226,Templado
Port Jennifershire,Washington,Tokelau,110792,Tropical
Stevenstown,New Mexico,Andorra,345966,Seco
Lake Jodi,Maine,Switzerland,256684,Tropical
New Lisashire,Arkansas,Cambodia,656195,Frío
Salazarborough,Michigan,Afghanistan,914375,Seco
Lake Brandon,Wyoming,Sweden,678615,Tropical
Rodriguezhaven,Virginia,Sri Lanka,649461,Templado
North Josephfurt,Minnesota,Netherlands Antilles,207537,Frío
Larryville,Arizona,Marshall Islands,133929,Seco
Yangshire,Vermont,Western Sahara,962468,Templado
Johnsonbury,Massachusetts,Nicaragua,400045,Frío
Angelaborough,Missouri,Andorra,196858,Templado
Williamview,Indiana,Mali,875169,Tropical
Jessicahaven,Nebraska,Vietnam,382088,Frío
North Stephanieborough,Illinois,Saint Kitts and Nevis,576302,Frío
South Lisa,Texas,Israel,692773,Frío
Lake Nicolas,Maine,New Zealand,872807,Tropical
North Kristenside,Colorado,United Kingdom,627080,Seco
Port Christy,South Dakota,Turkey,120196,Seco
Nathanielside,Kansas,Egypt,490994,Templado
Longland,South Dakota,Solomon Islands,98091,Frío
New Jason,Oklahoma,Pakistan,765785,Templado
South Michaelmouth,Alaska,French Guiana,469415,Frío
South Brittany,Ohio,Tunisia,541226,Tropical
West Frank,Kansas,Lao People's Democratic Republic,446513,Seco
Jacquelinestad,Nevada,Mauritius,990879,Seco
Johnsonville,South Dakota,Turkmenistan,793763,Tropical
Port Jason,Iowa,Sri Lanka,741291,Seco
Lake Tamara,Florida,Montserrat,608106,Frío
Davidland,Oklahoma,Maldives,974816,Frío
Port Claytonshire,Kansas,Timor-Leste,379163,Seco
West Richard,Utah,Chad,733537,Templado
Kentchester,California,Peru,390274,Tropical
Davisberg,Nebraska,Comoros,285261,Tropical
Jennifertown,Connecticut,El Salvador,607363,Seco
Wilsonborough,South Carolina,Aruba,425940,Templado
New Jeremy,Colorado,Cuba,325283,Frío
East Shawnland,Texas,Northern Mariana Islands,546435,Frío
Colleenside,New Mexico,Thailand,839448,Frío
New Lindashire,Wisconsin,Reunion,83529,Frío
West Jenniferville,Vermont,Nepal,861418,Seco
East Gregory,Kansas,French Guiana,954800,Seco
Kimberlyshire,Connecticut,Djibouti,366352,Templado
Luishaven,South Dakota,British Virgin Islands,235324,Templado
Mckayton,Vermont,Finland,645600,Seco
Lake Johnberg,Hawaii,Brazil,573098,Tropical
East Joseph,Montana,Faroe Islands,362377,Frío
Howardview,New Jersey,Vanuatu,414469,Seco
Michaelmouth,Arkansas,Sweden,218494,Templado
West David,Wisconsin,Uganda,739227,Tropical
Port Joseph,Idaho,Honduras,685782,Tropical
Tammyshire,Alabama,Israel,610086,Seco
North Kylebury,Montana,Guadeloupe,272473,Frío
Jesuston,Vermont,Togo,844587,Frío
West Theresaberg,Wisconsin,Fiji,699176,Frío
Port Alexander,Kansas,Guinea-Bissau,202655,Frío
Bartlettton,Hawaii,Cayman Islands,410688,Tropical
North Bradleystad,Florida,Cyprus,735002,Frío
North Jeffreyborough,Arizona,Andorra,747661,Seco
North Thomasport,Rhode Island,Greenland,779358,Templado
Lake Michaelfurt,Florida,Oman,347215,Frío
Angelafurt,Arizona,Malaysia,519894,Frío
Mindystad,Minnesota,Nicaragua,497155,Frío
East Kimberlymouth,Wyoming,Namibia,669191,Tropical
North Marcus,South Dakota,Oman,769669,Seco
West Jacobland,New Hampshire,Iraq,537677,Seco
Christinehaven,Florida,Samoa,512633,Templado
South Christopherside,Kansas,Ghana,235057,Seco
Curtisstad,Alabama,Panama,973218,Seco
New Nicholasfort,Mississippi,New Zealand,690692,Templado
Lake Joelfort,Ohio,Mauritania,985508,Seco
Vargashaven,Georgia,Cameroon,159533,Tropical
Dorisfurt,Alabama,Martinique,379510,Templado
West Amber,Florida,Eritrea,761808,Seco
West Nicholasfurt,Kansas,Slovenia,68974,Templado
New William,Louisiana,San Marino,712721,Tropical
Moranberg,Oregon,Turkey,539115,Seco
Phillipsfurt,New Mexico,New Zealand,453740,Templado
North Christopher,Alaska,Puerto Rico,342947,Tropical
Morganmouth,Louisiana,Anguilla,639673,Tropical
New Scott,Florida,British Indian Ocean Territory (Chagos Archipelago),884151,Frío
Julieville,New Jersey,Paraguay,884478,Frío
Victoriaport,Virginia,Swaziland,404575,Templado
Riosport,Ohio,Mozambique,109373,Frío
West Jocelyn,Colorado,Bolivia,159787,Templado
New Philipbury,New Jersey,French Polynesia,255258,Seco
Lake Jeffrey,Montana,United Kingdom,238193,Frío
Port Ashley,North Carolina,Bouvet Island (Bouvetoya),337313,Seco
South Garyville,South Dakota,Equatorial Guinea,268590,Tropical
East Darren,Washington,Gibraltar,993570,Frío
Sullivanhaven,South Carolina,Tuvalu,203715,Tropical
West Rita,Hawaii,Ukraine,86765,Templado
Ricechester,Arkansas,Barbados,764155,Seco
South Vernonburgh,Wyoming,Comoros,451848,Frío
West Mikaylatown,Texas,Angola,593598,Templado
West Susanberg,New Jersey,Sao Tome and Principe,825381,Templado
Lake Colleen,Oklahoma,Norfolk Island,822190,Templado
New Jack,North Carolina,Myanmar,589006,Frío
Chadstad,Oklahoma,Guinea,587018,Templado
South Philipmouth,Minnesota,Benin,293011,Tropical
East William,Maryland,Germany,872734,Seco
Jessicaville,Michigan,Yemen,932419,Tropical
Lake Shelby,South Carolina,Reunion,116073,Frío
Lake Teresafort,Pennsylvania,Saint Vincent and the Grenadines,476988,Frío
East Thomashaven,Illinois,Bahrain,433421,Seco
Olsontown,Maryland,North Macedonia,199850,Frío
West Tamaraview,Kentucky,Korea,177191,Templado
Lake Denise,Maine,Andorra,626890,Seco
Browntown,Rhode Island,Serbia,650599,Seco
Carrland,Louisiana,Saint Kitts and Nevis,797861,Frío
Christopherport,Nevada,Isle of Man,202829,Tropical
Bernardport,South Carolina,Nigeria,751424,Seco
South Shannonside,Arkansas,Cocos (Keeling) Islands,374561,Templado
West Michellebury,Wyoming,India,277498,Tropical
Allenview,South Carolina,Comoros,220361,Templado
Ericport,Nebraska,Monaco,725139,Tropical
Jamesberg,Wyoming,Mayotte,691843,Seco
East Blake,Maryland,Portugal,138137,Tropical
Annaview,Georgia,Sri Lanka,250380,Templado
Lake Michaelburgh,Vermont,Benin,74647,Seco
Lake Brandonfort,Michigan,Tanzania,297326,Templado
Petersonberg,Tennessee,Lesotho,813300,Tropical
Shannonfort,Delaware,Nigeria,941599,Templado
Roseton,Florida,Uzbekistan,878966,Templado
New Jeremyview,North Carolina,France,88721,Seco
North James,Delaware,Bhutan,454880,Templado
Gaychester,New Hampshire,Iraq,279971,Tropical
Cruzchester,Pennsylvania,Costa Rica,113103,Tropical
Port Stephen,Colorado,Burkina Faso,190219,Templado
Christinastad,Florida,Panama,488169,Seco
Jamesville,Illinois,Mauritius,593651,Seco
Mccormickhaven,Missouri,United States Minor Outlying Islands,394705,Seco
North Robertshire,Nebraska,Kuwait,565360,Templado
Williamsborough,Washington,Saint Vincent and the Grenadines,196500,Seco
Arielmouth,Montana,Macao,211632,Seco
East Dustin,Tennessee,Algeria,347603,Tropical
East Janice,Arizona,Ukraine,835197,Seco
Carolstad,West Virginia,Papua New Guinea,849425,Frío
New Victor,Washington,Qatar,403489,Templado
North Jennifer,Florida,Egypt,835862,Tropical
East Paul,North Dakota,Czech Republic,737840,Templado
North Victorton,Alabama,Lebanon,128214,Seco
South Pamela,Delaware,Serbia,73073,Seco
Tonyburgh,Vermont,Reunion,983702,Seco
Holtchester,Delaware,Martinique,892066,Tropical
Port Carlport,Georgia,El Salvador,282819,Templado
Lake Christian,Colorado,Albania,721503,Tropical
West Desireeberg,Vermont,Mexico,337107,Tropical
Lake Geraldburgh,Florida,Latvia,996119,Tropical
Sloanland,Colorado,Brunei Darussalam,190057,Tropical
Benjaminborough,Tennessee,South Africa,441600,Frío
East Richardmouth,Arizona,Macao,247649,Frío
South Timothyburgh,Connecticut,Oman,636826,Tropical
Patrickfurt,Utah,Georgia,293750,Seco
Aguilarfort,Minnesota,Saint Barthelemy,312352,Templado
East David,Louisiana,Lao People's Democratic Republic,151104,Templado
Port Michaelmouth,Utah,Namibia,425427,Frío
Taylorfurt,Pennsylvania,Bolivia,635082,Seco
East Lori,Pennsylvania,Sudan,381247,Frío
Port Erikamouth,Georgia,Monaco,646633,Frío
South Shelley,Massachusetts,Saint Kitts and Nevis,694814,Frío
Lake Courtneyton,Utah,Benin,107932,Templado
Lake Krystaltown,California,Western Sahara,919410,Frío
North Carolyn,New Mexico,French Polynesia,226428,Seco
Elizabethshire,Ohio,French Guiana,868397,Tropical
West Katelynmouth,New Mexico,Isle of Man,749545,Tropical
North Henry,Arkansas,Chad,701559,Seco
East Randy,Ohio,Poland,877107,Seco
Crossshire,Georgia,Afghanistan,955984,Templado
Martinezmouth,South Carolina,Costa Rica,411569,Templado
Benjaminmouth,Illinois,Uganda,531898,Templado
Nelsonland,New York,South Georgia and the South Sandwich Islands,504949,Seco
Millsville,Maine,Ukraine,779333,Tropical
New Jason,Florida,Sri Lanka,820343,Tropical
Alexisberg,New Hampshire,Western Sahara,111935,Frío
West Stephaniebury,Wisconsin,United Kingdom,115584,Seco
West Heatherville,Missouri,Cyprus,95929,Frío
Olivialand,Nevada,Romania,493731,Seco
Spencerview,Michigan,Kiribati,698162,Seco
Manuelburgh,Mississippi,New Zealand,703599,Seco
Martinezmouth,Vermont,Mongolia,439958,Seco
South Gary,Utah,Christmas Island,739869,Templado
Harrisland,Illinois,Uganda,974090,Seco
Lake Brittany,Maryland,Seychelles,376396,Seco
Michelleborough,New Hampshire,Costa Rica,654408,Frío
Kentchester,Washington,Niue,527626,Tropical
Lake Connieburgh,Arkansas,Pakistan,618808,Frío
Lake Tyrone,New Hampshire,Russian Federation,544990,Templado
Ericksonport,Louisiana,Yemen,192616,Frío
Lake Antoniohaven,Maryland,Western Sahara,344913,Seco
East Michael,New Hampshire,Tunisia,771081,Tropical
North Williamside,Maine,Saint Lucia,743452,Seco
East Robin,Pennsylvania,Angola,325005,Templado
Port Charles,Wisconsin,Kenya,597257,Frío
Wellsview,Rhode Island,Heard Island and McDonald Islands,665284,Tropical
Port Jessicaside,Texas,Egypt,495345,Seco
Julieberg,New Jersey,Colombia,870707,Tropical
Hernandezmouth,Washington,Cyprus,368343,Seco
Edwardsshire,Idaho,Burkina Faso,338433,Tropical
South Daniel,Oregon,Argentina,684002,Seco
Kingfort,Massachusetts,Bahamas,679569,Tropical
Karaton,Kentucky,Turkey,959920,Seco
Port Brenda,New Mexico,Bouvet Island (Bouvetoya),857640,Seco
Timothystad,Colorado,Cocos (Keeling) Islands,274735,Frío
North Jennifer,Massachusetts,North Macedonia,588826,Tropical
Lindachester,Washington,Belize,373885,Templado
Lake Richard,New York,South Africa,450478,Templado
East Jennifer,New Hampshire,Montserrat,896105,Frío
South Carrie,Iowa,Solomon Islands,724847,Tropical
Jodiburgh,Pennsylvania,Gibraltar,209374,Templado
Markville,West Virginia,Panama,123768,Templado
Christianfurt,California,Nepal,876498,Frío
Moonburgh,Georgia,British Indian Ocean Territory (Chagos Archipelago),313257,Tropical
